question,scratch,answer
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read? The word problem can be solved by subtracting 16 from 19.  ,<scratch>To subtract 16 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 6 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Marco and his dad went strawberry picking. Marco's dad's strawberries weighed 11 pounds. If together their strawberries weighed 30 pounds. How much did Marco's strawberries weigh? The word problem can be solved by subtracting 11 from 30.  ,<scratch>To subtract 11 from 30, we can think of it as subtracting the digits in each place value. Subtracting 0 and 1 gives 9. Subtracting 3 and 1 gives 2. After subtracting all digits, we get the difference, which is 19. </scratch>,19
Marco and his dad went strawberry picking. Marco's strawberries weighed 15 pounds. If together their strawberries weighed 37 pounds. How much did his dad's strawberries weigh? The word problem can be solved by subtracting 15 from 37.  ,<scratch>To subtract 15 from 37, we can think of it as subtracting the digits in each place value. Subtracting 7 and 5 gives 2. Subtracting 3 and 1 gives 2. After subtracting all digits, we get the difference, which is 22. </scratch>,22
Paul got a box of 521 crayons and 66 erasers for his birthday. At the end of the school year he only had 154 left while not having lost a single erasers. How many crayons had been lost or given away? The word problem can be solved by subtracting 154 from 521.  ,<scratch>To subtract 154 from 521, we can think of it as subtracting the digits in each place value. Subtracting 1 and 5 gives 4. Subtracting 5 and 2 gives 3. Subtracting 2 and 1 gives 1. After subtracting all digits, we get the difference, which is 367. </scratch>,367
David did 56 more push-ups than Zachary in gym class today. If David did 38 push-ups How many push-ups did Zachary and David do altogether? The word problem can be solved by subtracting 56 from 76.  ,<scratch>To subtract 56 from 76, we can think of it as subtracting the digits in each place value. Subtracting 6 and 6 gives 0. Subtracting 5 and 7 gives 2. After subtracting all digits, we get the difference, which is 20. </scratch>,20
Danny collects bottle caps and wrappers. He found 10 bottle caps and 62 wrappers at the park. Now he has 27 bottle caps and 43 wrappers in his collection. How many more wrappers than bottle caps does danny have now? The word problem can be solved by subtracting 27 from 43.  ,<scratch>To subtract 27 from 43, we can think of it as subtracting the digits in each place value. Subtracting 3 and 7 gives 4. Subtracting 2 and 4 gives 0. After subtracting all digits, we get the difference, which is 16. </scratch>,16
4 birds and 3 storks were sitting on the fence. 6 more storks came to join them. How many more storks than birds are sitting on the fence? The word problem can be solved by subtracting 4 from 9.  ,<scratch>To subtract 4 from 9, we can think of it as subtracting the digits in each place value. Subtracting 9 and 4 gives 5. After subtracting all digits, we get the difference, which is 05. </scratch>,5
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Julia played tag with 14 kids on monday, 2 kids on tuesday and 8 kids on wednesday. How many more kids did she play with on monday than on wednesday? The word problem can be solved by subtracting 8 from 14.  ,<scratch>To subtract 8 from 14, we can think of it as subtracting the digits in each place value. Subtracting 4 and 8 gives -4. Subtracting 1 and 0 gives -1. After subtracting all digits, we get the difference, which is 06. </scratch>,6
A waiter had 3 customers. After some more arrived he had 8 customers. How many new customers arrived? The word problem can be solved by subtracting 3 from 8.  ,<scratch>To subtract 3 from 8, we can think of it as subtracting the digits in each place value. Subtracting 8 and 3 gives 5. After subtracting all digits, we get the difference, which is 05. </scratch>,5
Jack received 3 emails in the afternoon, 6 emails in the morning and some more in the evening. If he received a total of 10 emails in the day How many emails did jack receive in the evening? The word problem can be solved by subtracting 9 from 10.  ,<scratch>To subtract 9 from 10, we can think of it as subtracting the digits in each place value. Subtracting 0 and 9 gives 1. Subtracting 1 and 0 gives 0. After subtracting all digits, we get the difference, which is 01. </scratch>,1
The school is planning a field trip. The school has 102 classrooms. There are 11 students in the school and 99 seats on each school bus. If 8 students do n't want to go for the trip How many students are going on the trip? The word problem can be solved by subtracting 8 from 11.  ,<scratch>To subtract 8 from 11, we can think of it as subtracting the digits in each place value. Subtracting 1 and 8 gives -7. Subtracting 1 and 0 gives -1. After subtracting all digits, we get the difference, which is -7. </scratch>,3
Jesse's room is 11 feet long and 15 feet wide. If she already has 16 square feet of carpet How much more carpet does she need to cover the whole floor? The word problem can be solved by subtracting 16 from 165.  ,<scratch>To find the area of the room, we can multiply the length by the width. 11 feet * 15 feet = 165 square feet. To find how much more carpet she needs, we can subtract the amount she already has from the total area. 165 square feet - 16 square feet = 149 square feet. </scratch>,149
Jake has 6 fewer peaches and 8 more apples than Steven. Steven has 17 peaches and 16 apples. How many more peaches than apples does Steven have? The word problem can be solved by subtracting 16 from 17.  ,<scratch>To subtract 16 from 17, we can think of it as subtracting the digits in each place value. Subtracting 6 and 1 gives 5. Subtracting 7 and 6 gives 1. After subtracting all digits, we get the difference, which is 05. </scratch>,1
Danny collects bottle caps. He threw away 60 of the old ones at the park while he found 58 bottle caps new ones. Now he has 67 bottle caps in his collection. How many bottle caps did danny have at first? The word problem can be solved by subtracting 58 from 127.  ,<scratch>To subtract 58 from 127, we can think of it as subtracting the digits in each place value. Subtracting 7 and 8 gives -1. Subtracting 2 and 5 gives -3. After subtracting all digits, we get the difference, which is 69. </scratch>,127
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Next on his checklist is wax to stick the feathers together. If he currently has 11 g of wax and the feathers require a total of 492 g of wax How many more grams of wax does he need? The word problem can be solved by subtracting 11 from 492.  ,<scratch>To subtract 11 from 492, we can think of it as subtracting the digits in each place value. Subtracting 2 and 1 gives 1. Subtracting 9 and 1 gives 8. Subtracting 4 and 0 gives 4. After subtracting all digits, we get the difference, which is 481. </scratch>,481
Steven has 19 peaches. Jake has 12 fewer peaches than Steven and 72 more peaches than Jill. How many peaches does Jake have? The word problem can be solved by subtracting 12 from 19.  ,<scratch>To subtract 12 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 2 gives 7. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 07. </scratch>,7
A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is 25 pages long. How many more pages does the first chapter have than the second chapter? The word problem can be solved by subtracting 23 from 91.  ,<scratch>To subtract 23 from 91, we can think of it as subtracting the digits in each place value. Subtracting 9 and 2 gives 7. Subtracting 1 and 3 gives 8. After subtracting all digits, we get the difference, which is 68. </scratch>,68
Danny collects bottle caps. He found 36 bottle caps at the park while he threw away 35 old ones. Now he has 22 bottle caps in his collection. How many more bottle caps did danny find at the park than those he threw away? The word problem can be solved by subtracting 35 from 36.  ,<scratch>To subtract 35 from 36, we can think of it as subtracting the digits in each place value. Subtracting 5 and 6 gives 1. Subtracting 3 and 3 gives 0. After subtracting all digits, we get the difference, which is 01. </scratch>,1
Dan has $ 4. For a total of $ 3 he bought 10 candy bar each one costing the same amount of money. How much money is left? The word problem can be solved by subtracting 3 from 4.  ,<scratch>To subtract 3 from 4, we can think of it as subtracting the digits in each place value. Subtracting 4 and 3 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
At the zoo, a cage had 95 snakes and 61 alligators. If 64 snakes were hiding How many snakes were not hiding? The word problem can be solved by subtracting 64 from 95.  ,<scratch>To subtract 64 from 95, we can think of it as subtracting the digits in each place value. Subtracting 9 and 4 gives 5. Subtracting 5 and 6 gives -1. After subtracting all digits, we get the difference, which is 31. </scratch>,31
Baker made 155 cakes. If his friend bought 140 cakes from him How many cakes would baker still have? The word problem can be solved by subtracting 140 from 155.  ,<scratch>To subtract 140 from 155, we can think of it as subtracting the digits in each place value. Subtracting 5 and 0 gives 5. Subtracting 4 and 5 gives 1. After subtracting all digits, we get the difference, which is 15. </scratch>,15
2 children were riding on the bus. At the bus stop some more children got on the bus. Then there were 10 children altogether on the bus. How many more children are on the bus now than there were before the bus stop? The word problem can be solved by subtracting 2 from 10.  ,<scratch>To subtract 2 from 10, we can think of it as subtracting the digits in each place value. Subtracting 0 and 2 gives 8. Subtracting 1 and 0 gives 0. After subtracting all digits, we get the difference, which is 08. </scratch>,8
Danny collects bottle caps and wrappers. He found 22 bottle caps and 8 wrappers at the park. Now he has 28 bottle caps and 63 wrappers in his collection. How many bottle caps did danny have at first? The word problem can be solved by subtracting 22 from 28.  ,<scratch>To subtract 22 from 28, we can think of it as subtracting the digits in each place value. Subtracting 8 and 2 gives 6. Subtracting 2 and 0 gives 2. After subtracting all digits, we get the difference, which is 06. </scratch>,6
Paco ate 36 cookies. If he had 37 cookies initially How many cookies did Paco have left? The word problem can be solved by subtracting 36 from 37.  ,<scratch>To subtract 36 from 37, we can think of it as subtracting the digits in each place value. Subtracting 9 and 6 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 01. </scratch>,1
Bobby had 21 pieces of candy. He ate 5 pieces of candy. Then he ate 9 more. How many pieces of candy does he still have left? The word problem can be solved by subtracting 14 from 21.  ,<scratch>To subtract 14 from 21, we can think of it as subtracting the digits in each place value. Subtracting 1 and 4 gives 7. Subtracting 2 and 1 gives 1. After subtracting all digits, we get the difference, which is 07. </scratch>,7
Baker made 54 cakes. He sold some of them. If he still has 13 cakes left How many cakes did baker sell? The word problem can be solved by subtracting 13 from 54.  ,<scratch>To subtract 13 from 54, we can think of it as subtracting the digits in each place value. Subtracting 4 and 3 gives 1. Subtracting 5 and 1 gives 4. After subtracting all digits, we get the difference, which is 41. </scratch>,41
During summer break 819058 kids from Lawrence county go to camp and the other 668278 kids stay home. How many more kids spent their summer break at the camp compared to those who stayed home? The word problem can be solved by subtracting 668278 from 819058.  ,<scratch>To subtract 668278 from 819058, we can think of it as subtracting the digits in each place value. Subtracting 8 and 6 gives 2. Subtracting 1 and 9 gives 0. Subtracting 9 and 8 gives 1. Subtracting 0 and 2 gives 0. After subtracting all digits, we get the difference, which is 150780. </scratch>,150780
Randy has 79 blocks. He uses 14 blocks to build a tower and 11 blocks to build a house. How many blocks are left? The word problem can be solved by subtracting 25 from 79.  ,<scratch>To subtract 25 from 79, we can think of it as subtracting the digits in each place value. Subtracting 9 and 5 gives 4. Subtracting 7 and 2 gives 5. After subtracting all digits, we get the difference, which is 54. </scratch>,54
2 birds were sitting on the fence. Some more birds came to join them. If there are a total of 6 birds on the fence now How many more birds had come to sit on the fence? The word problem can be solved by subtracting 2 from 6.  ,<scratch>To subtract 2 from 6, we can think of it as subtracting the digits in each place value. Subtracting 6 and 2 gives 4. After subtracting all digits, we get the difference, which is 04. </scratch>,4
Jesse's room is 12 feet long and 11 feet wide. How much longer is her room than it is wide? The word problem can be solved by subtracting 11 from 12.  ,<scratch>To subtract 11 from 12, we can think of it as subtracting the digits in each place value. Subtracting 2 and 1 gives 1. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 01. </scratch>,1
There are 16 different books and 14 different movies in the ' crazy silly school ' series. If you read 19 of the books and watched 13 of the movies How many more books than movies are there in the ' crazy silly school ' series? The word problem can be solved by subtracting 14 from 16.  ,<scratch>To subtract 14 from 16, we can think of it as subtracting the digits in each place value. Subtracting 4 and 6 gives 2. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 02. </scratch>,2
Jerry had 2 action figures and 10 books on a shelf in his room. Later he added 4 more action figures to the shelf. How many more books than action figures were on his shelf? The word problem can be solved by subtracting 6 from 10.  ,<scratch>To subtract 6 from 10, we can think of it as subtracting the digits in each place value. Subtracting 0 and 6 gives 4. Subtracting 1 and 0 gives 0. After subtracting all digits, we get the difference, which is 04. </scratch>,8
Mary is baking a cake. The recipe calls for 5 cups of sugar and 13 cups of flour. She already put in some cups of flour. If she still needs 12 more cups of flour How many cups of flour did she put in? The word problem can be solved by subtracting 12 from 13.  ,<scratch>To subtract 12 from 13, we can think of it as subtracting the digits in each place value. Subtracting 2 and 3 gives 1. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 1. </scratch>,1
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Paco had 97 salty cookies and 34 sweet cookies. He ate 15 sweet cookies and 56 salty cookies. How many sweet cookies did Paco have left? The word problem can be solved by subtracting 15 from 34.  ,<scratch>To subtract 15 from 34, we can think of it as subtracting the digits in each place value. Subtracting 4 and 5 gives -1. Subtracting 3 and 1 gives 2. After subtracting all digits, we get the difference, which is 29. </scratch>,19
Julia played tag with 15 kids on monday, 18 kids on tuesday and 7 kids on wednesday. How many more kids did she play with on monday and tuesday than on wednesday? The word problem can be solved by subtracting 7 from 33.  ,<scratch>To subtract 7 from 33, we can think of it as subtracting the digits in each place value. Subtracting 3 and 7 gives 26. Subtracting 3 and 0 gives 23. After subtracting all digits, we get the difference, which is 23. </scratch>,23
Baker made 133 cakes. If he sold 51 of them How many more cakes did baker make than those he sold? The word problem can be solved by subtracting 51 from 133.  ,<scratch>To subtract 51 from 133, we can think of it as subtracting the digits in each place value. Subtracting 3 and 1 gives 2. Subtracting 5 and 3 gives 10. After subtracting all digits, we get the difference, which is 82. </scratch>,82
Olivia spent 38 dollars at a supermarket. If there were 128 dollars in her wallet initially How much money does she have left? The word problem can be solved by subtracting 38 from 128.  ,<scratch>To subtract 38 from 128, we can think of it as subtracting the digits in each place value. Subtracting 8 and 8 gives 0. Subtracting 2 and 3 gives 9. After subtracting all digits, we get the difference, which is 90. </scratch>,90
Baker sold 44 cakes. If he had made 48 cakes initially How many cakes would baker still have? The word problem can be solved by subtracting 44 from 48.  ,<scratch>To subtract 44 from 48, we can think of it as subtracting the digits in each place value. Subtracting 8 and 4 gives 4. Subtracting 4 and 4 gives 0. After subtracting all digits, we get the difference, which is 04. </scratch>,4
Rachel had to complete 8 pages of math homework. If she had to complete 3 more pages of math homework than reading homework How many pages did she have to complete in all? The word problem can be solved by subtracting 3 from 16.  ,<scratch>To subtract 3 from 16, we can think of it as subtracting the digits in each place value. Subtracting 6 and 3 gives 3. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 13. </scratch>,13
Dan has $ 5. He bought a chocolate for $ 3 and a candy bar for $ 7. How much money did he spend to buy candy bar than he did to buy chocolate? The word problem can be solved by subtracting 3 from 7.  ,<scratch>To subtract 3 from 7, we can think of it as subtracting the digits in each place value. Subtracting 7 and 3 gives 4. After subtracting all digits, we get the difference, which is 4. </scratch>,4
Jessie weighed 92 kilograms. After she started to go jogging everyday she lost 56 kilograms in the first week and 99 kilograms in the second week. How much did she weigh after the first week of jogging? The word problem can be solved by subtracting 56 from 92.  ,<scratch>To subtract 56 from 92, we can think of it as subtracting the digits in each place value. Subtracting 9 and 6 gives 3. Subtracting 2 and 5 gives 7. After subtracting all digits, we get the difference, which is 37. </scratch>,37
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 32 inches farther than the grasshopper and the mouse jumped 26 inches lesser than the frog. How far did the mouse jump? The word problem can be solved by subtracting 26 from 57.  ,<scratch>To subtract 26 from 57, we can think of it as subtracting the digits in each place value. Subtracting 7 and 6 gives 1. Subtracting 5 and 2 gives 3. After subtracting all digits, we get the difference, which is 31. </scratch>,31
Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 10 invitations in it and she bought 7 packs. If she sends invitations to only 2 friends How many invitations will be left? The word problem can be solved by subtracting 2 from 70.  ,<scratch>To subtract 2 from 70, we can think of it as subtracting the digits in each place value. Subtracting 0 and 2 gives 8. Subtracting 7 and 0 gives 7. After subtracting all digits, we get the difference, which is 68. </scratch>,68
Rachel's tree had 4 apples initially. She picked some apples and now there are 2 apples left on the tree. How many apples did rachel pick? The word problem can be solved by subtracting 2 from 4.  ,<scratch>To subtract 2 from 4, we can think of it as subtracting the digits in each place value. Subtracting 4 and 2 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
The Razorback shop makes $ 115 dollars off each jersey and $ 25 off each t-shirt. During the Arkansas and Texas tech game they sold 113 t-shirts and 78 jerseys. How much more does a jersey cost than a t-shirt? The word problem can be solved by subtracting 25 from 115.  ,<scratch>To subtract 25 from 115, we can think of it as subtracting the digits in each place value. Subtracting 5 and 5 gives 0. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 90. </scratch>,90
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Baker made 126 cakes and 48 pastries. If he sold 115 cakes and 81 pastries How many more cakes than pastries did baker make? The word problem can be solved by subtracting 48 from 126.  ,<scratch>To subtract 48 from 126, we can think of it as subtracting the digits in each place value. Subtracting 6 from 6 gives 0. Subtracting 8 from 2 gives 4. After subtracting all digits, we get the difference, which is 78. </scratch>,78
At the arcade Dave had won 19 tickets. If he used 12 to buy some toys and 7 more to buy some clothes How many more tickets did Dave use to buy toys than he did to buy clothes? The word problem can be solved by subtracting 7 from 12.  ,<scratch>To subtract 7 from 12, we can think of it as subtracting the digits in each place value. Subtracting 2 and 7 gives 5. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 05. </scratch>,5
Paul got a box of 440 crayons for his birthday. During the school year he gave 111 crayons to his friends while he lost 106 crayons. How many crayons did he have left? The word problem can be solved by subtracting 217 from 440.  ,<scratch>To subtract 217 from 440, we can think of it as subtracting the digits in each place value. Subtracting 0 and 7 gives 3. Subtracting 4 and 1 gives 3. Subtracting 4 and 0 gives 4. After subtracting all digits, we get the difference, which is 223. </scratch>,223
Some campers went rowing in the morning while 7 campers went rowing in the afternoon. If a total of 60 campers went rowing that day How many campers went rowing in the morning? The word problem can be solved by subtracting 7 from 60.  ,<scratch>To subtract 7 from 60, we can think of it as subtracting the digits in each place value. Subtracting 0 and 7 gives 5. Subtracting 6 and 0 gives 6. After subtracting all digits, we get the difference, which is 53. </scratch>,53
Jerry had 7 books and 3 action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more books than action figures were on his shelf? The word problem can be solved by subtracting 5 from 7.  ,<scratch>To subtract 5 from 7, we can think of it as subtracting the digits in each place value. Subtracting 5 and 7 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,4
Katie had 57 new games and 39 old games. Her friends had 34 new games. How many more games does Katie have than her friends? The word problem can be solved by subtracting 34 from 96.  ,<scratch>To subtract 34 from 96, we can think of it as subtracting the digits in each place value. Subtracting 6 and 4 gives 2. Subtracting 9 and 3 gives 6. After subtracting all digits, we get the difference, which is 62. </scratch>,62
Jake brought 6 balloons to the park. If Jake brought 4 more balloons than the number of balloons that Allan brought How many balloons did Allan bring to the park? The word problem can be solved by subtracting 4 from 6.  ,<scratch>To subtract 4 from 6, we can think of it as subtracting the digits in each place value. Subtracting 6 and 4 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Edward had $ 18. He spent $ 16. How much money does Edward have now? The word problem can be solved by subtracting 16 from 18.  ,<scratch>To subtract 16 from 18, we can think of it as subtracting the digits in each place value. Subtracting 8 and 6 gives 2. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 02. </scratch>,2
For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 2 more dollars. If she spent 6 dollars. How much more money did she receive from her dad than she did from her mom? The word problem can be solved by subtracting 2 from 5.  ,<scratch>To subtract 2 from 5, we can think of it as subtracting the digits in each place value. Subtracting 5 and 2 gives 3. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Baker made 14 cakes and 153 pastries. If he sold 8 pastries and 97 cakes How many more cakes than pastries did baker sell? The word problem can be solved by subtracting 8 from 97.  ,<scratch>To subtract 8 from 97, we can think of it as subtracting the digits in each place value. Subtracting 7 and 8 gives -1. Subtracting 9 and 0 gives 9. After subtracting all digits, we get the difference, which is 91. </scratch>,91
After a typhoon, 2 trees in Haley's backyard died. If she had grown 12 trees initially How many trees does she have left? The word problem can be solved by subtracting 2 from 12.  ,<scratch>To subtract 2 from 12, we can think of it as subtracting the digits in each place value. Subtracting 2 and 0 gives 10. Subtracting 1 and 2 gives 8. After subtracting all digits, we get the difference, which is 10. </scratch>,10
Paco had 8 sweet cookies and 6 salty cookies. He ate 20 sweet cookies and 34 salty cookies. How many more salty cookies than sweet cookies did he eat? The word problem can be solved by subtracting 20 from 34.  ,<scratch>To subtract 20 from 34, we can think of it as subtracting the digits in each place value. Subtracting 4 and 0 gives 4. Subtracting 3 and 2 gives 1. After subtracting all digits, we get the difference, which is 14. </scratch>,14
A grocery store had 79 bottles of regular soda, 53 bottles of diet soda and 42 apples. How many more bottles of regular soda than diet soda did they have? The word problem can be solved by subtracting 53 from 79.  ,<scratch>To subtract 53 from 79, we can think of it as subtracting the digits in each place value. Subtracting 9 and 3 gives 6. Subtracting 7 and 5 gives 2. After subtracting all digits, we get the difference, which is 26. </scratch>,26
Jake has 84 more apples and 10 fewer peaches than Steven. Steven has 13 peaches and 52 apples. How many peaches does Jake have? The word problem can be solved by subtracting 10 from 13.  ,<scratch>To subtract 10 from 13, we can think of it as subtracting the digits in each place value. Subtracting 3 and 0 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Rachel had to complete 7 pages of math homework, 11 pages of reading homework and 8 more pages of biology homework. How many more pages of reading homework than biology homework did she have? The word problem can be solved by subtracting 8 from 11.  ,<scratch>To subtract 8 from 11, we can think of it as subtracting the digits in each place value. Subtracting 1 and 8 gives -7. Subtracting 1 and 0 gives -1. After subtracting all digits, we get the difference, which is -7. </scratch>,3
The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave? The word problem can be solved by subtracting 849 from 1218.  ,<scratch>To subtract 849 from 1218, we can think of it as subtracting the digits in each place value. Subtracting 8 and 1 gives 7. Subtracting 4 and 2 gives 2. Subtracting 9 and 1 gives 8. After subtracting all digits, we get the difference, which is 369. </scratch>,369
Bobby had 32 pieces of candy. He ate some pieces of candy. If he has 20 pieces of candy left How many pieces of candy did Bobby eat? The word problem can be solved by subtracting 20 from 32.  ,<scratch>To subtract 20 from 32, we can think of it as subtracting the digits in each place value. Subtracting 2 and 0 gives 2. Subtracting 3 and 2 gives 1. After subtracting all digits, we get the difference, which is 12. </scratch>,12
Baker sold 8 cakes. If he had made 40 cakes initially How many more cakes did baker make than those he sold? The word problem can be solved by subtracting 8 from 40.  ,<scratch>To subtract 8 from 40, we can think of it as subtracting the digits in each place value. Subtracting 0 and 8 gives 32. Subtracting 4 and 0 gives 40. After subtracting all digits, we get the difference, which is 32. </scratch>,32
After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 100 visitors came to the Buckingham palace on the previous day. If there were 666 visitors on that day How many more visitors visited the Buckingham palace on that day than on the previous day? The word problem can be solved by subtracting 100 from 666.  ,<scratch>To subtract 100 from 666, we can think of it as subtracting the digits in each place value. Subtracting 6 and 0 gives 6. Subtracting 6 and 0 gives 6. Subtracting 6 and 6 gives 0. After subtracting all digits, we get the difference, which is 566. </scratch>,566
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Jake has 6 fewer peaches than Steven. Steven has 18 more peaches than Jill. If jill has 5 peaches How many peaches does Jake have? The word problem can be solved by subtracting 6 from 23.  ,<scratch>To subtract 6 from 23, we can think of it as subtracting the digits in each place value. Subtracting 3 and 6 gives -3. Subtracting 2 and 0 gives -2. After subtracting all digits, we get the difference, which is -5. </scratch>,17
Allan brought 6 balloons and Jake brought 2 balloons to the park. Jake then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park? The word problem can be solved by subtracting 5 from 6.  ,<scratch>To subtract 5 from 6, we can think of it as subtracting the digits in each place value. Subtracting 5 and 0 gives 1. Subtracting 6 and 5 gives 1. After subtracting all digits, we get the difference, which is 11. </scratch>,4
Ed had 12 more marbles than Doug. Ed lost 20 of his marbles at the playground. If Ed had 17 marbles How many marbles does Doug have now? The word problem can be solved by subtracting 12 from 17.  ,<scratch>To subtract 12 from 17, we can think of it as subtracting the digits in each place value. Subtracting 7 and 2 gives 5. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 05. </scratch>,5
Lawrence county has 313473 kids. During summer break 274865 kids stay home and the rest go to camp. How many kids go to the camp during the break? The word problem can be solved by subtracting 274865 from 313473.  ,<scratch>To subtract 274865 from 313473, we can think of it as subtracting the digits in each place value. Subtracting 9 from 3 gives 2. Subtracting 4 from 1 gives 7. Subtracting 8 from 3 gives 5. Subtracting 6 from 1 gives 4. Subtracting 5 from 3 gives 8. After subtracting all digits, we get the difference, which is 38608. </scratch>,38608
The Razorback shop makes $ 210 dollars off each jersey and $ 240 off each t-shirt. During the Arkansas and Texas tech game they sold 177 t-shirts and 23 jerseys. How much more does a t-shirt cost than a jersey? The word problem can be solved by subtracting 210 from 240.  ,<scratch>To subtract 210 from 240, we can think of it as subtracting the digits in each place value. Subtracting 0 and 4 gives 4. Subtracting 1 and 2 gives 1. After subtracting all digits, we get the difference, which is 30. </scratch>,30
Baker made 54 cakes and 143 pastries. If he sold 68 cakes and 92 pastries How many more pastries than cakes did baker sell? The word problem can be solved by subtracting 68 from 92.  ,<scratch>To subtract 68 from 92, we can think of it as subtracting the digits in each place value. Subtracting 2 and 8 gives 4. Subtracting 9 and 6 gives 3. After subtracting all digits, we get the difference, which is 24. </scratch>,24
Bobby ate 23 pieces of candy. If he initially had 30 pieces of candy How many pieces of candy does he still have left? The word problem can be solved by subtracting 23 from 30.  ,<scratch>To subtract 23 from 30, we can think of it as subtracting the digits in each place value. Subtracting 0 and 3 gives 0. Subtracting 3 and 2 gives 1. After subtracting all digits, we get the difference, which is 07. </scratch>,7
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The grasshopper jumped 4 inches farther than the frog and the mouse jumped 44 inches lesser than the frog. How far did the frog jump? The word problem can be solved by subtracting 4 from 19.  ,<scratch>To subtract 4 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 4 gives 5. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 15. </scratch>,15
Danny collects bottle caps and wrappers. He found 15 bottle caps and 18 wrappers at the park. Now he has 67 wrappers and 35 bottle caps in his collection. How many more wrappers than bottle caps does danny have now? The word problem can be solved by subtracting 35 from 67.  ,<scratch>To subtract 35 from 67, we can think of it as subtracting the digits in each place value. Subtracting 7 and 5 gives 2. Subtracting 6 and 3 gives 3. After subtracting all digits, we get the difference, which is 32. </scratch>,32
Robin's hair was 17 inches long. He cut off some inches of her hair. If his hair is now 13 inches long How much of his hair did he cut? The word problem can be solved by subtracting 13 from 17.  ,<scratch>To subtract 13 from 17, we can think of it as subtracting the digits in each place value. Subtracting 7 and 3 gives 4. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 04. </scratch>,4
Baker made 56 pastries and 124 cakes. If he sold 104 cakes and 29 pastries How many pastries would baker still have? The word problem can be solved by subtracting 29 from 56.  ,<scratch>To subtract 29 from 56, we can think of it as subtracting the digits in each place value. Subtracting 9 and 6 gives 3. Subtracting 2 and 5 gives 3. After subtracting all digits, we get the difference, which is 27. </scratch>,27
3 birds were sitting on the fence. 2 more birds and 6 more storks came to join them. How many more storks than birds are sitting on the fence? The word problem can be solved by subtracting 5 from 6.  ,<scratch>To subtract 5 from 6, we can think of it as subtracting the digits in each place value. Subtracting 6 and 5 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
The Razorback shop makes $ 86 dollars off each t-shirt and $ 232 off each jersey. During the Arkansas and Texas tech game they sold 254 t-shirts and 43 jerseys. How much more does a jersey cost than a t-shirt? The word problem can be solved by subtracting 86 from 232.  ,<scratch>To subtract 86 from 232, we can think of it as subtracting the digits in each place value. Subtracting 2 and 8 gives 14. Subtracting 3 and 6 gives 7. After subtracting all digits, we get the difference, which is 146. </scratch>,146
